Questions,Answers
why test,"Many COVID-19 symptoms are similar to the common cold and influenza, but only testing can confirm an infection. This is different, for instance, from China, which for a period of time included clinical diagnoses in its count in addition to lab-confirmed tests. Scientists told ABC News that changing that methodology could complicate tracking the disease.Public health officials told ABC News that testing is necessary mainly to track the spread of disease and ensure proper treatment and isolation for those infected, especially since COVID-19 is an influenza-like illness. For more information, please visit https://abcnews.go.com/US/coronavirus-testing-including-drive-clinics-covid-19-spreads/story?id=69584514"
how does it work,"On Friday, the White House announced a new testing protocol where prospective patients are directed to a screening website. If they have symptoms, they will be directed to a drive-thru testing site, like those in Denver and elsewhere. Those tests will be sent to labs for analysis, said Dr. Debbie Birx, the White House coronavirus response coordinator.

But public health officials told ABC News that it is not like taking a pregnancy test or other common medical tests. Instead, it is more like the test for Ebola, they said, providing a set of data as opposed to a yes or no answer.

Under the current protocol, according to officials, test administered by hospitals or clinics typically involve:

-Two sets of Personal Protective Equipment (PPE)

-20 to 25 minutes to put on and take off PPE.

-Transporting the sample to the lab -- a process called real-time PCR (Polymerase Chain Reaction)

-A certified epidemiologist confirms every positive test.

-Results are entered into the system.

Any test conducted on someone under quarantine requires even more resources and protection, the officials told ABC News.

Under the new protocol, using the drive-thru sites, ""the goal is for individuals to be able to drive up and be swabbed without having to leave your car,"" President Trump said on March 13. The test uses a nasal swab, Birx said. For more information, please visit https://abcnews.go.com/US/coronavirus-testing-including-drive-clinics-covid-19-spreads/story?id=69584515"
how long will the results take,"It depends. Results had been taking a few days, but the new testing procedure would take 24 hours from start to finish, Birx said. For more information, please visit https://abcnews.go.com/US/coronavirus-testing-including-drive-clinics-covid-19-spreads/story?id=69584516"
can i test negative and later test positive,"According to the CDC, yes.

Under the CDC-developed test, a negative result means the virus was not detected in the patient's sample, which is possible in the early stages of infection.

""For COVID-19, a negative test result for a sample collected while a person has symptoms likely means that the COVID-19 virus is not causing their current illness,"" the CDC said. For more information, please visit https://abcnews.go.com/US/coronavirus-testing-including-drive-clinics-covid-19-spreads/story?id=69584517"
what if i test positive,"As ABC News' chief medical correspondent Dr. Jen Ashton and other medical experts have pointed out, there is no treatment for this virus.

MORE: CDC moves to rapidly expand COVID-19 testing capabilities in US
All medical professionals can do for patients diagnosed with COVID-19 is keep their body healthy to allow it to fight off the virus. Ventilators are used to assist in breathing in some cases and antibiotics are used to fight off secondary infections a patient may develop.

Experts also say it will take a year to 18 months to develop a vaccine because testing it in real-world environments and ensuring it works is time-consuming. For more information, please visit https://abcnews.go.com/US/coronavirus-testing-including-drive-clinics-covid-19-spreads/story?id=69584518"
what are the new tests coming,"Three labs, Everlywell, MicroGenDX and Nurx -- have made it possible to test for COVID-19 right from your living room.

Home kits allow patients to swab at home, send samples to a central lab and have results within days. However, swabs are in short supply, so many of these companies are expecting supply chain problems and are actively looking for workarounds.

All the at-home testing kits have to get shipped to a lab for results. The Everlywell and Nurx tests get results between 48 hours or ""within days"" while MicroGenDX's COVID-19 Rapid PCR Test has a 24-hour turnaround from time of receipt.

MicroGenDX will have the capacity to process over 8,000 samples per day beginning April 1 or sooner.

Traditional testing labs such as Hologic, LabCorp and Abbott -- are working to speed up their existing testing capacity.

Hologic has FDA approval to provide results for coronavirus tests in less than three hours and to process up to 1,150 tests in a 24-hour period.

LabCorp expects to perform 10,000 tests every day and by the end of the month conduct 20,000 per day.

Abbott is scaling up production at its U.S. manufacturing location to reach up to one million tests per week by end of March. Their m2000 RealTime testing system is currently available in hospitals and molecular laboratories and ships 150,000 laboratory tests immediately. For more information, please visit https://abcnews.go.com/US/coronavirus-testing-including-drive-clinics-covid-19-spreads/story?id=69584519"
can covid be spread through bodily fluids such as blood sweat or semen,"Current evidence suggests that there is no risk of contracting COVID-19 from bodily fluids (blood, sweat, semen). The virus is spread by respiratory droplets when a person who is infected coughs or sneezes. COVID-19 is most commonly spread by:

close contact with an infected person when they cough or sneeze;
touching infected surfaces with your hands and then touching your mouth, nose or eyes. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46774"
can covid be spread by contact with the faces of a person who is sick,"The risk of contracting COVID-19 by contact with an infected person’s feces is low, but possible. This is why you must wash your hands regularly, especially after going to the bathroom and before eating. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46775"
can a person who does not have symptoms spread covid,"The risk of getting COVID-19 if you have contact with someone who does not have any symptoms is low.

However, many people who are infected have only mild symptoms. This is especially true in the early stages of the disease. For example, you can get COVID-19 if you have contact with someone who has only a mild cough but does not feel sick.

That’s why you are advised to keep at least 2 metres away from other people even if no one has symptoms. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46776"
could the arrival of spring and the warmer weather affect the spread of covid,"It might, but so far COVID-19 has been found in many countries, whatever their climate. At this time, it is not known whether the spread of COVID-19 will decrease when the weather becomes warmer. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46777"
what is physical distancing is it really effective is slowing the spread of covid,"Physical distancing means keeping a certain distance from other people. Since COVID-19 is mainly spread by close contact with infected people, it is one of the most effective ways to reduce the spread of the disease. To minimize close contact with other people who are infected, you must:

Stay at home as much as possible;
Avoid non-essential gatherings with people who do not live in your household (for example, dinner with friends);
Avoid physical contact with people who are most at risk of complications (older adults, people with chronic diseases or a weakened immune system);
If you must go out, stay at least 2 metres (around 6 feet) away from other people as much as possible. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46778"
when should i wash my hands,"As often as possible, but especially:

Before touching your face (eyes, mouth, nose);
After coughing, sneezing or blowing your nose;
After going to the bathroom;
When your hands are visibly dirty or after touching something dirty;
Before and after providing care to a family member or friend;
Before and after preparing meals;
Before and after eating;
Before and after going to a public place (for example, the grocery store or pharmacy). For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46779"
is wearing a mask protect me effectively against covid,"Masks are not the best protective measure against infections such as COVID-19 for the general population in Québec. Their use is recommended for patients with a suspected infection. In this situation, when it is necessary to wear a mask, a procedure mask is used. It must be worn solely in the presence of other people or in a health-care setting. The mask enables infected individuals to protect the people around them by retaining potentially contaminated fine droplets that are discharged when they breathe or sneeze.

Because of the nature of their work, health professionals use the N95 mask, which protects them from viruses by filtering the air that they breathe. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46780"
can i replace antiseptic gel with other products found in the home,"Washing your hands with warm water and soap for at least 20 seconds is the best method. Antiseptic gel should be used when soap and water are unavailable. Acetone-based products such as nail polish remover or hydrogen peroxide, mainly sold in drugstores, are not designed to disinfect the hands and pose a health hazard For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46781"
should i wear gloves to protect myself,"There is a shortage of medical gloves right now. They should be reserved for use by health professionals. Wearing gloves can give you a false sense of security. The best way to protect yourself is to wash your hands frequently and properly. Go to the page Washing your hands to find out how. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46782"
would it be a good idea to catch the virus so that i would be immunized afterwards i e to develop resistance to the virus,"No, it would be risky and the benefits are uncertain. There is a real risk, even for young people, of catching COVID-19 and being hospitalized or admitted to intensive care.

In addition, even if infected people develop antibodies against the virus, at this time it is impossible to know if this would provide a natural defence or effective, lasting immunity. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46783"
are screening tests effective if you don t have symptoms,"At this time, it cannot be confirmed that tests done on people who are asymptomatic are conclusive, However, if a person has symptoms consistent with COVID‑19 and had close contact with a confirmed case, they can be considered to have COVID‑19 without doing a test. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46784"
why isn t everyone being tested,"The coronavirus disease (COVID‑19) pandemic is evolving very rapidly. Whereas in January and February, COVID‑19 was spread by returning travellers, most cases are now caused by community transmission.

This means that testing priorities need to be revised. From now on, testing will focus on people who are most at risk of being hospitalized or developing complications due to the infection and on people who play a critical role in the fight against the infection in Québec.

This prioritization of testing will help maintain health services, first responder services and essential services by identifying symptomatic people who might be involved in outbreaks in their workplace and among people who are at risk. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46785"
are there any foods supplements vitamins or natural health products that can be used to prevent or treat covid,"There are no foods, supplements, vitamins or natural health products that can be used to protect you against or treat COVID-19.

You cannot strengthen your immune system through diet.

However, for the immune system to function effectively, it is important to eat a variety of healthy foods every day, as recommended in Canada’s Food Guide. To find out more, go to the page Healthy eating. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46786"
is it preferable to self isolate and stay home in the coming weeks even if individuals are not returning from a trip,"Confinement is one of the measures that will reduce the spread of COVID-19. Elderly people 70 years of age and over and those with a weak immune system or suffering from chronic diseases are asked to stay home,except in the case of necessity or exceptional circumstances, for example for a medical appointment.

Visits to hospitals, residential and long-term care centres, intermediate resources, family-type resources and private seniors' homes are prohibited until further notice.

Healthy individuals are urged to avoid gatherings as much as possible, especially in enclosed spaces, and to follow basic health advice. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46787"
should i be worried about the covid situation,"For now, the spread of COVID-19 is under control in Québec, but the situation must be monitored closely. The Government is taking all the necessary measures to contain the contagion as much as possible. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46788"
does the ramq cover health services provided by means of telecommunications,"Yes, the RAMQ will from now on cover health services provided by correspondence or by means of telecommunications. This coverage includes, for example, a telephone consultation with a physician. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46789"
can my pet catch covid can i catch the disease from my pet,"No cases of infected pets have been reported in Canada. At this time, there is no evidence that pets, such as cats and dogs, can spread COVID-19. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46790"
what is convalescent plasma how could it help people with covid,"When people recover from COVID-19, their blood contains antibodies that their bodies produced to fight the coronavirus and help them get well. Antibodies are found in plasma, a component of blood.

Convalescent plasma — literally plasma from recovered patients — has been used for more than 100 years to treat a variety of illnesses from measles to polio, chickenpox, and SARS. In the current situation, antibody-containing plasma from a recovered patient is given by transfusion to a patient who is suffering from COVID-19. The donor antibodies help the patient fight the illness, possibly shortening the length or reducing the severity of the disease.

Though convalescent plasma has been used for many years, and with varying success, not much is known about how effective it is for treating COVID-19. There have been reports of success from China, but no randomized, controlled studies (the gold standard for research studies) have been done. Experts also don't yet know the best time during the course of the illness to give plasma.

On March 24th, the FDA began allowing convalescent plasma to be used in patients with serious or immediately life-threatening COVID-19 infections. This treatment is still considered experimental. For more information, please visit https://www.health.harvard.edu/diseases-and-conditions/coronavirus-resource-center"
who can donate plasma for covid,"In order to donate plasma, a person must meet several criteria. They have to have tested positive for COVID-19, recovered, have no symptoms for 14 days, currently test negative for COVID-19, and have high enough antibody levels in their plasma. A donor and patient must also have compatible blood types. Once plasma is donated, it is screened for other infectious diseases, such as HIV.

Each donor produces enough plasma to treat one to three patients. Donating plasma should not weaken the donor's immune system nor make the donor more susceptible to getting reinfected with the virus. For more information, please visit https://www.health.harvard.edu/diseases-and-conditions/coronavirus-resource-center"
is the antiviral drug remdesivir effective for treating covid,"Scientists all over the world are testing whether drugs previously developed to treat other viral infections might also be effective against the new coronavirus that causes COVID-19.

One drug that has received a lot of attention is the antiviral drug remdesivir. That's because the coronavirus that causes COVID-19 is similar to the coronaviruses that caused the diseases SARS and MERS — and evidence from laboratory and animal studies suggests that remdesivir may help limit the reproduction and spread of these viruses in the body. In particular, there is a critical part of all three viruses that can be targeted by drugs. That critical part, which makes an important enzyme that the virus needs to reproduce, is virtually identical in all three coronaviruses; drugs like remdesivir that successfully hit that target in the viruses that cause SARS and MERS are likely to work against the COVID-19 virus.

Remdesivir was developed to treat several other severe viral diseases, including the disease caused by Ebola virus (not a coronavirus). It works by inhibiting the ability of the coronavirus to reproduce and make copies of itself: if it can't reproduce, it can't make copies that spread and infect other cells and other parts of the body.

Remdesivir inhibited the ability of the coronaviruses that cause SARS and MERS to infect cells in a laboratory dish. The drug also was effective in treating these coronaviruses in animals: there was a reduction in the amount of virus in the body, and also an improvement in lung disease caused by the virus.

The drug appears to be effective in the laboratory dish, in protecting cells against infection by the COVID virus (as is true of the SARS and MERS coronaviruses), but more studies are underway to confirm that this is true.

Remdesivir was used in the first case of COVID-19 that occurred in Washington state, in January 2020. The patient was severely ill, but survived. Of course, experience in one patient does not prove the drug is effective.

Two large randomized clinical trials are underway in China. The two trials will enroll over 700 patients, and are likely to definitively answer the question of whether the drug is effective in treating COVID-19. The results of those studies are expected in April or May 2020. Studies also are underway in the United States, including at several Harvard-affiliated hospitals. It is hard to predict when the drug could be approved for use and produced in large amounts, assuming the clinical trials indicate that it is effective and safe. For more information, please visit https://www.health.harvard.edu/diseases-and-conditions/coronavirus-resource-center"
i have symptoms of coronavirus disease covid or i have covid what can i do to take care of myself,"If you have symptoms of coronavirus disease, you will feel tired and weak. Rest will help you fight the disease. Limit your contact with other people until the symptoms have resolved. You can resume your activities when your condition allows.

It is important to drink often because fever makes you sweat and lose a lot of fluids. At least 1.5 litres of fluids per day is recommended. Have hot or cold or drinks, whichever you prefer. Avoid alcoholic beverages or beverages that contain caffeine, such as coffee, tea and soft drinks. Alcohol and caffeine will make you urinate and increase fluid loss (dehydration).

Watch for the following signs of dehydration:

sensation of extreme thirst;
dry mouth and tongue;
infrequent or dark urine;
dizziness, confusion and headaches.
Complications of COVID-19 can develop a few days after symptoms first appear. If symptoms become more acute, you must go to the emergency room immediately or, if you need help, call 911. Watch for the following signs of a deterioration:

body temperature over 38°C (100.4°F);
persistent or increasing difficulty breathing;
drowsiness, confusion, disorientation or difficulty staying awake;
no urine for 12 hours;
fever in a baby under 3 months of age. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46786"
how should i clean my environment,"The virus that causes coronavirus disease (COVID-19) can live on objects and surfaces. It can survive for:

3 hours on objects with dry surfaces;
6 days on objects with wet surfaces.
It is important to clean countertops, washbasins, door handles and any surfaces that are frequently touched by hands. Cleaning and disinfecting are very effective at eliminating the virus.

For cleaning, use soap and water or household cleaning products.
For disinfecting, use a bleach solution or a disinfectant. A solution of 1 part bleach to 9 parts water is recommended, that is, 10 mL of bleach in 90 mL of water.
If you are sick, your bed linen, towels, clothes and dishes can be washed with those of other household members using regular detergent. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46787"
how can i ask for help,"If you are worried, do not hesitate to ask for or accept help. It is important to talk about it with your family and friends.

For home care, you can also call 211 or ask your CLSC to connect you with home care services.

For food assistance, visit the Food Banks of Quebec This hyperlink will open in a new window. website.

For information about financial support for individuals, visit the Government of Canada’s website This hyperlink will open in a new window..

For information about other support measures, go to the Québec.ca/coronavirus page. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46788"
what medications should i take to relieve my symptoms,"Over-the-counter medications can be used to relieve the symptoms of coronavirus disease (COVID-19). Before using, read the labels carefully and do not take more than the recommended dose. You are strongly advised to ask your pharmacist for advice before using over-the-counter medications if you have symptoms. Do not take products that contain the same ingredients at the same time, such as Tylenol® and Tylenol® Sinus. If you have health problems, ask your pharmacist for advice or call Info-Santé 811 before taking over-the-counter medications.

Taking anti-inflammatories may make coronavirus disease (COVID-19) worse, but this information is based on clinical observations and has not been confirmed or disproven. According to some recommendations, ibuprofen should not be taken by people who have COVID-19 to relieve fever. Advil® and Motrin® belong to this drug class. If you are already taking anti-inflammatories and you test positive for COVID-19, speak to your pharmacist, doctor or specialized nurse practitioner. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46789"
is it preferable to avoid all public spaces,"In order to protect Quebecers, the Gouvernement du Québec is prohibiting indoor and outdoor gatherings. However, provision has been made for several exceptions (see “Gatherings and events” section).

Individuals who must attend a gathering that the Gouvernement du Québec has exempted areare urged to remain for the shortest possible time and as far as possible to maintain a distance of 2 metres from other people. For more information, please visit https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/#c46790"
what is the cnesst s role regarding the covid pandemic,"The CNESST is the government body in charge of administering the occupational health and safety plan. In matters of prevention, it is responsible, in particular, for monitoring compliance with the Act respecting occupational health and safety and its regulations and for ensuring that workplaces meet occupational health and safety requirements.Furthermore, in response to the COVID-19 outbreak, the CNESST was listed as a priority health and social services organization by the Québec government.The CNESST is playing a leading role in preventing the spread of COVID-19 and is working closely with the public health department on a daily basis.From the outset, inspectors were deployed throughout Québec to help workplaces implement adequate occupational health and safety measures.In the current context, the duties of these inspectors have not changed, because they provide priority services and the CNESST must ensure compliance with the Act respecting occupational health and safety and safety and its regulations.Nearly 300 CNESST inspectors take action, particularly in workplaces where employees have exercised their right to refuse to work under the Act respecting occupational health and safety (AOHS), where complaints have been filed or where serious industrial  For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
how does the cnesst intervene in the case of a priority or non priority business,"To comply with Order 223-2020, the CNESST has adjusted its response to complaints and the right to refuse to work in the case of a priority or non-priority business.If a concerned citizen (not a worker or a union association) complains or reports that a business is not complying with the order and it is still open, the CNESST will refer the citizen to the public health department of Ministère de la Santé et des Services sociaux.In the case of a non-priority business, if a worker or a union association files a complaint or exercises its right to refuse to work, the CNESST will contact the employer and look into the matter to ensure compliance with the order in collaboration with the region’s public health department. If the business is still open after this joint initiative, the CNESST will refer the matter to the appropriate law enforcement agency.If a worker or a union association files a complaint or exercises its right to refuse to work, the CNESST will document and review the file to determine whether the workplace has handled the biological hazard in accordance with the Act respecting occupational health and safety. The public health department may provide assistance if required.If you are wondering whether a business is considered a priority or not, please refer to Ministère de l’Économie et de l’Innovation. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
does an employer have to take special measures to protect the health of workers,"As stipulated in section 51 of the Act respecting occupational health and safety (AOHS), “every employer must take the necessary measures to protect the health and ensure the safety and physical well-being of his worker.”To this end, the employer must take measures to identify, control and eliminate the virus. Here are some examples of preventive measures that can be implemented to reduce this risk:Encouraging handwashing and proper respiratory etiquette (coughing and sneezing into a tissue or your elbow)
Regularly cleaning and disinfecting surfaces, doorknobs, tools and equipment
Adopting a work practice the encourages 2 metres of physical and social distancing from any person
Using technology for communication with and between workers
Supporting telework
Avoiding non-essential face-to-face meetings
Developing a procedure for exclusion from the workplace of workers exhibiting COVID-19 symptoms                          For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
can employees refuse to work if they think they may be infected with covid,"A worker must take the necessary measures to ensure his health, safety or physical well-being and see that he does not endanger the health, safety or physical well-being of other persons at or near his workplace. A worker who is experiencing symptoms should inform their employer of these symptoms.The employer must ask the worker about the risk factors underlying the need for self-isolation. If the employee refuses to comply, the employer may inform the employee that administrative or disciplinary action may be taken.In response to the COVID-19 pandemic, the federal government has passed the Quarantine Act. The Act requires that anyone returning from abroad self-isolate for 14 days. Those who fail to comply with this obligation are liable to a fine or imprisonment. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
what recourses are there for employees whose work may be hazardous to their health,"Workers can file a complaint or report a dangerous situation. Complaints are reviewed to assess the risk and to determine if corrective and control measures are in order. To file a complaint, call the CNESST at 1-844-838-0808 and ask for an on-call inspector.Sections 12–13 of the Act respecting occupational health and safety (AOHS) stipulate that “a worker has a right to refuse to perform particular work if he has reasonable grounds to believe that the performance of that work would expose him to danger to his health, safety or physical well-being, or would expose another person to a similar danger. No worker may, however, exercise his right under section 12 if his refusal to perform the work puts the life, health, safety or physical well-being of another person in immediate danger or if the conditions under which the work is to be performed are ordinary conditions in his kind of work.”Should a worker refuse to work, a CNESST inspector will promptly determine if there is any risk and will make sure that the procedure set out in the AOHS has been followed, i.e., that the worker has notified the immediate superior, the employer or its representative, and informed the union association representative or the prevention representative, as applicable.In addition, the AOHS also provides for the reassignment of pregnant and breastfeeding workers through its For a Safe Maternity Experience Program (FSMEP) and seeks to ensure that pregnant and breastfeeding workers remain safely employed.In view of the current situation, the CNESST is streamlining the FSMEP application procedure to facilitate access and to safeguard the health of pregnant workers and their unborn or breastfed children (see question 36 onward). For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
can the cnesst shut down a workplace due to covid related risks,"In the event that a workplace does not comply with government guidelines and the employer does not address the COVID-19-related risk, a CNESST inspector could issue remedial notices to ensure that the employer identifies, controls and eliminates the biological hazard.If the inspector deems that the health, safety or physical well-being of workers is at risk, they may order the closure of the workplace until the employer takes corrective action. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
what happens if there is a shortage of n respirators,"In the event of such a shortage, there are other types of masks that meet the minimum standards of the N95.However, some of the masks offering equivalent protection may, for example, require additional training and fit testing to ensure a proper seal. A proper fit is necessary to limit infiltration that could expose the worker to the coronavirus.Moreover, it is the employer’s responsibility to ensure that alternative masks meet the appropriate safety standards for the tasks employees are required to perform. If necessary, the employer may contact the manufacturer to confirm whether the masks are compliant.As stipulated in section 51 of the Act respecting occupational health and safety (AOHS), “every employer must take the necessary measures to protect the health and ensure the safety and physical well-being of his worker.” For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
when a worker has been infected with covid does an employer necessarily have to disinfect the workplace or clean common areas in a special way,"If anyone has to use the work area of someone who has had flu-like symptoms, cleaning and disinfection of the surfaces will help limit the spread of the virus within the company. Cleaning the surfaces eliminates dirt. Disinfection kills the remaining microorganisms. According to section 152 of the Regulation respecting occupational health and safety, the word “disinfected” means being washed with a bleach-based solution or with some comparable product. . For more information,the INSPQ has issued recommendations: For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
can my employer force me to stay home if i have coronavirus covid symptoms,"Yes, an employer must insist that a worker stay at home if they believe there is a risk. As stipulated in section 51 of the Act respecting occupational health and safety (AOHS), “every employer must take the necessary measures to protect the health and ensure the safety and physical well-being of his worker.In response to the COVID-19 pandemic, the federal government has passed the Quarantine Act. The Act requires that anyone returning from abroad self-isolate for 14 days. Those who fail to comply with this obligation are liable to a fine or imprisonment. These people must be vigilant and monitor their symptoms. Workers must inform their employer if they exhibit symptoms For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
what are the measures to be implemented on construction sites to reduce contamination linked to covid,"As stipulated in section 51 of the Act respecting occupational health and safety (AOHS), “every employer must take the necessary measures to protect the health and ensure the safety and physical well-being of his worker.” On construction sites, employers and the principal contractor share the responsibility to ensure the health and safety of workers , To this end, the employer must take measures to identify, control and eliminate the virus. For example, the employer must take the necessary sanitary measures to limit the spread of the virus. This obligation also applies to construction sites,In accordance with section 49 of the AOHS, a worker must “take the necessary measures to ensure his health, safety or physical well-being and see that he does not endanger the health, safety or physical well-being of other persons at or near his workplace.In the event that a workplace does not comply with government guidelines and the employer does not address the COVID-19-related risk, a CNESST inspector could demand that the workplace be closed until the employer takes corrective action.To address the construction industry’s concerns regarding the spread of COVID-19, at the request of the Minister of Labour, Employment and Social Solidarity, the CNESST has created the CNESST Tactical Committee – COVID-19 Construction Sites, bringing together employer and labour associations in the construction industry. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
how must the employer verify the state of health of the workers arriving on the work site,"Employers must inquire about the health of each of their workers daily, upon arrival at the work site, by having them answer the following questions: Do you have any of these symptoms: cough, fever, difficulty breathing, sudden loss of smell?
Have you been out of the country in the last 2 weeks?
Are you in contact with someone who has COVID-19? If worker answer yes to any of these questions, they must stay home.Temperature taking is not recommended because the results are unreliable, especially for people who work outdoors.It is important to tell workers to go back home if they have symptoms suggestive of COVID-19 , Answers to these questions are confidential and employers must take the necessary steps to ensure their confidentiality For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
what is the time period for an employee who had covid to return to work,"The Direction générale de la santé publique authorizes people to be released from self-isolation once all the following criteria have been met.At least 14 days have elapsed since the onset of the disease in its acute phase
No acute symptoms in the past 24 hours (apart from a possible residual cough)
No fever in the past 48 hours (without using antipyretics) , As a general rule, hospitalization is not required for most people who become infected. Most people should therefore be able to stay at home.However, since the health care system is unable to certify that the above criteria have been met, a medical certificate is not required for a return to work. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
what is the physical distancing to be respected on the work sites and during transportation of workers,"Employers must make every effort to ensure that work is arranged in such a way that workers can maintain a physical distance of 2 metres from each other.Employers must also take care to ensure that a physical distance of 2 metres is observed during the following situations: arrival at the work site, breaks, meals and departure from the work site, Work must be scheduled in such a manner as to avoid having a large number of workers in the same place at the same time. That said, teams of workers should be kept together,If physical distancing cannot be respected for more than 15 minutes without a physical barrier, measures must be taken to protect the workers (refer to the section on personal protective equipment).Physical distancing may not be possible for a short period due to the nature of the work to be done. Consequently, workers should always avoid touching their face and should cough into their elbow.In terms of transportation, vehicles should be operated at half the seating capacity. Having two workers in the same vehicle is permitted.It is also recommended to avoid face-to-face meetings and to use the telephone or the Internet instead. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
